perturbation_label	drug_name
[('Arbutin', 5.0, 'uM')]	Arbutin
[('Artemether', 0.05, 'uM')]	Artemether
[('Artemether', 0.5, 'uM')]	Artemether
[('Artemether', 5.0, 'uM')]	Artemether
[('Artesunate', 0.05, 'uM')]	Artesunate
[('Artesunate', 0.5, 'uM')]	Artesunate
[('Artesunate', 5.0, 'uM')]	Artesunate
[('Asciminib', 0.05, 'uM')]	Asciminib
[('Asciminib', 0.5, 'uM')]	Asciminib
[('Asciminib', 5.0, 'uM')]	Asciminib
[('Aspirin', 0.05, 'uM')]	Aspirin
[('Aspirin', 0.5, 'uM')]	Aspirin
[('Aspirin', 5.0, 'uM')]	Aspirin
[('Ataluren', 0.05, 'uM')]	Ataluren
[('Ataluren', 0.5, 'uM')]	Ataluren
[('Ataluren', 5.0, 'uM')]	Ataluren
[('Atazanavir (sulfate)', 0.05, 'uM')]	Atazanavir (sulfate)
[('Atazanavir (sulfate)', 0.5, 'uM')]	Atazanavir (sulfate)
[('Atazanavir (sulfate)', 5.0, 'uM')]	Atazanavir (sulfate)
[('Auranofin', 0.05, 'uM')]	Auranofin
[('Auranofin', 0.5, 'uM')]	Auranofin
[('Auranofin', 5.0, 'uM')]	Auranofin
[('Azithromycin (hydrate)', 0.05, 'uM')]	Azithromycin (hydrate)
[('Azithromycin (hydrate)', 0.5, 'uM')]	Azithromycin (hydrate)
[('Azithromycin (hydrate)', 5.0, 'uM')]	Azithromycin (hydrate)
[('BAY1125976', 0.05, 'uM')]	BAY1125976
[('BAY1125976', 0.5, 'uM')]	BAY1125976
[('BAY1125976', 5.0, 'uM')]	BAY1125976
[('BI-3406', 0.05, 'uM')]	BI-3406
[('BI-3406', 0.5, 'uM')]	BI-3406
[('BI-3406', 5.0, 'uM')]	BI-3406
[('BI-78D3', 0.05, 'uM')]	BI-78D3
[('BI-78D3', 0.5, 'uM')]	BI-78D3
[('BI-78D3', 5.0, 'uM')]	BI-78D3
[('Baicalin', 0.05, 'uM')]	Baicalin
[('Baicalin', 0.5, 'uM')]	Baicalin
[('Baicalin', 5.0, 'uM')]	Baicalin
[('Balsalazide (sodium hydrate)', 0.05, 'uM')]	Balsalazide (sodium hydrate)
[('Balsalazide (sodium hydrate)', 0.5, 'uM')]	Balsalazide (sodium hydrate)
[('Balsalazide (sodium hydrate)', 5.0, 'uM')]	Balsalazide (sodium hydrate)
[('Belinostat', 0.05, 'uM')]	Belinostat
[('Belinostat', 0.5, 'uM')]	Belinostat
[('Belinostat', 5.0, 'uM')]	Belinostat
[('Belumosudil (mesylate)', 0.05, 'uM')]	Belumosudil (mesylate)
[('Belumosudil (mesylate)', 0.5, 'uM')]	Belumosudil (mesylate)
[('Belumosudil (mesylate)', 5.0, 'uM')]	Belumosudil (mesylate)
[('Belumosudil', 0.05, 'uM')]	Belumosudil
[('Belumosudil', 0.5, 'uM')]	Belumosudil
[('Belumosudil', 5.0, 'uM')]	Belumosudil
[('Belzutifan', 0.05, 'uM')]	Belzutifan
[('Belzutifan', 0.5, 'uM')]	Belzutifan
[('Belzutifan', 5.0, 'uM')]	Belzutifan
[('Bendamustine', 0.05, 'uM')]	Bendamustine
[('Bendamustine', 0.5, 'uM')]	Bendamustine
[('Bendamustine', 5.0, 'uM')]	Bendamustine
[('Benproperine (phosphate)', 0.05, 'uM')]	Benproperine (phosphate)
[('Benproperine (phosphate)', 0.5, 'uM')]	Benproperine (phosphate)
[('Benproperine (phosphate)', 5.0, 'uM')]	Benproperine (phosphate)
[('Bentamapimod', 0.05, 'uM')]	Bentamapimod
[('Bentamapimod', 0.5, 'uM')]	Bentamapimod
[('Bentamapimod', 5.0, 'uM')]	Bentamapimod
[('Benztropine (mesylate)', 0.05, 'uM')]	Benztropine (mesylate)
[('Benztropine (mesylate)', 0.5, 'uM')]	Benztropine (mesylate)
[('Benztropine (mesylate)', 5.0, 'uM')]	Benztropine (mesylate)
[('Berbamine (dihydrochloride)', 0.05, 'uM')]	Berbamine (dihydrochloride)
[('Berbamine (dihydrochloride)', 0.5, 'uM')]	Berbamine (dihydrochloride)
[('Berbamine (dihydrochloride)', 5.0, 'uM')]	Berbamine (dihydrochloride)
[('Berbamine', 0.05, 'uM')]	Berbamine
[('Berbamine', 0.5, 'uM')]	Berbamine
[('Berbamine', 5.0, 'uM')]	Berbamine
[('Berberine (chloride hydrate)', 0.05, 'uM')]	Berberine (chloride hydrate)
[('Berberine (chloride hydrate)', 0.5, 'uM')]	Berberine (chloride hydrate)
[('Berberine (chloride hydrate)', 5.0, 'uM')]	Berberine (chloride hydrate)
[('Bergenin', 0.05, 'uM')]	Bergenin
[('Bergenin', 0.5, 'uM')]	Bergenin
[('Bergenin', 5.0, 'uM')]	Bergenin
[('Bestatin (hydrochloride)', 0.05, 'uM')]	Bestatin (hydrochloride)
[('Bestatin (hydrochloride)', 0.5, 'uM')]	Bestatin (hydrochloride)
[('Bestatin (hydrochloride)', 5.0, 'uM')]	Bestatin (hydrochloride)
[('Bestatin', 0.05, 'uM')]	Bestatin
[('Bestatin', 0.5, 'uM')]	Bestatin
[('Bestatin', 5.0, 'uM')]	Bestatin
[('Betamethasone dipropionate', 0.05, 'uM')]	Betamethasone dipropionate
[('Betamethasone dipropionate', 0.5, 'uM')]	Betamethasone dipropionate
[('Betamethasone dipropionate', 5.0, 'uM')]	Betamethasone dipropionate
[('Bexarotene', 0.05, 'uM')]	Bexarotene
[('Bexarotene', 0.5, 'uM')]	Bexarotene
[('Bexarotene', 5.0, 'uM')]	Bexarotene
[('Bicalutamide', 0.05, 'uM')]	Bicalutamide
[('Bicalutamide', 0.5, 'uM')]	Bicalutamide
[('Bicalutamide', 5.0, 'uM')]	Bicalutamide
[('Bimatoprost', 0.05, 'uM')]	Bimatoprost
[('Bimatoprost', 0.5, 'uM')]	Bimatoprost
[('Bimatoprost', 5.0, 'uM')]	Bimatoprost
[('Bimiralisib', 0.05, 'uM')]	Bimiralisib
[('Bimiralisib', 0.5, 'uM')]	Bimiralisib
[('Bimiralisib', 5.0, 'uM')]	Bimiralisib
[('Binimetinib', 0.05, 'uM')]	Binimetinib
[('Binimetinib', 0.5, 'uM')]	Binimetinib
[('Binimetinib', 5.0, 'uM')]	Binimetinib
[('Bisoprolol (hemifumarate)', 0.05, 'uM')]	Bisoprolol (hemifumarate)
[('Bisoprolol (hemifumarate)', 0.5, 'uM')]	Bisoprolol (hemifumarate)
[('Bisoprolol (hemifumarate)', 5.0, 'uM')]	Bisoprolol (hemifumarate)
[('Bortezomib', 0.05, 'uM')]	Bortezomib
[('Bortezomib', 0.5, 'uM')]	Bortezomib
[('Bortezomib', 5.0, 'uM')]	Bortezomib
[('Bosentan (hydrate)', 0.05, 'uM')]	Bosentan (hydrate)
[('Bosentan (hydrate)', 0.5, 'uM')]	Bosentan (hydrate)
[('Bosentan (hydrate)', 5.0, 'uM')]	Bosentan (hydrate)
[('Brimonidine', 0.05, 'uM')]	Brimonidine
[('Brimonidine', 0.5, 'uM')]	Brimonidine
[('Brimonidine', 5.0, 'uM')]	Brimonidine
[('Brivudine', 0.05, 'uM')]	Brivudine
[('Brivudine', 0.5, 'uM')]	Brivudine
[('Brivudine', 5.0, 'uM')]	Brivudine
[('Budesonide', 0.05, 'uM')]	Budesonide
